TotalUnits,ActiveSubs,Latitude,Longitude,OwnerType
60,2,29.96569,-90.09884,For Profit
19,1,29.96606,-90.08194,For Profit
32,1,29.96645,-90.03963,Non-Profit
32,0,29.96654,-90.08137,For Profit
199,1,29.96664,-90.10094,For Profit
80,1,29.96775,-90.10338,Non-Profit
32,1,29.96955,-90.03776,For Profit
106,2,29.96996,-90.05344,For Profit
140,2,29.97357,-90.07072,Non-Profit
13,1,29.97369,-90.07038,Non-Profit
24,2,29.97647,-90.07107,Non-Profit
150,2,29.99258,-90.06367,For Profit
102,0,30.0025,-90.04109,For Profit
108,1,30.011,-90.06512,Multiple
52,2,30.01139,-90.00581,For Profit
77,1,30.01163,-90.00357,Non-Profit
65,1,30.0125,-90.01217,For Profit
46,1,30.01418,-89.9874,For Profit
131,1,30.01574,-89.98045,For Profit
521,1,30.03051,-89.99091,For Profit
206,1,30.03822,-89.90624,For Profit
206,1,30.03838,-89.90575,For Profit
287,2,30.03875,-89.97393,Non-Profit
150,2,30.0472,-89.98816,For Profit
122,2,30.04729,-89.98798,For Profit
64,0,30.06277,-89.96078,Non-Profit
153,0,39.048131,-76.827269,For Profit
125,0,39.23559,-76.44494,Non-Profit
49,1,39.24458,-76.66093,Non-Profit
34,1,39.2447,-76.51233,For Profit
23,0,39.248046,-76.472684,Non-Profit
126,0,39.25086,-76.61829,For Profit
187,2,39.25138,-76.6322,For Profit
127,1,39.25181,-76.6185,For Profit
90,0,39.2618,-76.66986,Non-Profit
109,2,39.26874,-76.66988,Non-Profit
20,1,39.27532,-76.61349,Non-Profit
56,0,39.27716,-76.56929,Non-Profit
23,0,39.27787,-76.61737,For Profit
71,1,39.27824,-76.68322,Non-Profit
192,3,39.27884,-76.61686,For Profit
49,0,39.27885,-76.61116,For Profit
94,0,39.27981,-76.69706,For Profit
288,1,39.28025,-76.61515,Non-Profit
101,2,39.28118,-76.65703,For Profit
100,1,39.28174,-76.68671,Non-Profit
394,2,39.28252,-76.68764,For Profit
199,1,39.28423,-76.61468,For Profit
110,0,39.2847,-76.59126,Non-Profit
35,1,39.28523,-76.64363,Non-Profit
20,1,39.28545,-76.59439,Non-Profit
110,3,39.28585,-76.63044,Multiple
20,1,39.28637,-76.63,Non-Profit
46,1,39.28641,-76.63292,For Profit
106,0,39.28658,-76.62216,Non-Profit
60,1,39.28681,-76.65232,For Profit
27,1,39.28683,-76.65792,For Profit
84,2,39.28736,-76.64518,Non-Profit
8,0,39.28757,-76.65351,Non-Profit
15,0,39.28781,-76.71126,Non-Profit
89,0,39.28797,-76.65157,Non-Profit
30,1,39.2881,-76.64593,Non-Profit
30,1,39.28828,-76.64597,Non-Profit
29,2,39.28828,-76.64597,Non-Profit
30,0,39.28828,-76.64597,For Profit
12,0,39.28865,-76.63826,Non-Profit
124,1,39.28869,-76.59978,For Profit
124,0,39.28916,-76.59955,For Profit
72,3,39.28956,-76.64128,For Profit
209,1,39.28987,-76.63752,Multiple
111,3,39.2899,-76.63116,Multiple
130,2,39.29038,-76.59395,Non-Profit
20,0,39.29051,-76.61399,Non-Profit
54,0,39.29062,-76.54449,Non-Profit
123,3,39.29067,-76.63165,For Profit
74,0,39.29078,-76.56354,For Profit
65,2,39.29125,-76.64388,For Profit
1,0,39.2915,-76.58973,Non-Profit
100,1,39.29177,-76.61528,For Profit
60,2,39.29189,-76.71044,Non-Profit
20,0,39.29252,-76.579,For Profit
88,2,39.29254,-76.62986,For Profit
203,0,39.29267,-76.63121,For Profit
51,0,39.29308,-76.53533,Non-Profit
132,0,39.29316,-76.59718,For Profit
203,2,39.29327,-76.62783,For Profit
108,0,39.29401,-76.70407,Non-Profit
108,1,39.29407,-76.70415,For Profit
150,0,39.29413,-76.58922,For Profit
8,0,39.29441,-76.62113,For Profit
75,1,39.29451,-76.6326,For Profit
198,1,39.29482,-76.6249,For Profit
16,0,39.29493,-76.58499,For Profit
38,2,39.29497,-76.62191,For Profit
201,2,39.29516,-76.61728,Non-Profit
29,1,39.29526,-76.61501,Non-Profit
282,1,39.29537,-76.61565,Non-Profit
74,1,39.29537,-76.64067,For Profit
49,1,39.29543,-76.62449,Multiple
58,1,39.29604,-76.62143,For Profit
12,0,39.29611,-76.63582,For Profit
180,2,39.29612,-76.62469,For Profit
100,2,39.29681,-76.63567,Non-Profit
147,1,39.29682,-76.62651,For Profit
101,2,39.29683,-76.62481,For Profit
58,0,39.297181,-76.607718,For Profit
29,0,39.297181,-76.607718,Non-Profit
211,2,39.2986,-76.62867,For Profit
151,0,39.29866,-76.63575,Non-Profit
70,2,39.2989,-76.59724,For Profit
8,0,39.29906,-76.62164,Non-Profit
15,0,39.29922,-76.63622,Non-Profit
204,1,39.29938,-76.59842,Multiple
21,0,39.29974,-76.63582,For Profit
120,1,39.30011,-76.64235,For Profit
198,4,39.30022,-76.63069,For Profit
86,0,39.3005,-76.58021,For Profit
262,0,39.30066,-76.68395,For Profit
96,2,39.30076,-76.59785,For Profit
15,0,39.3015,-76.64181,For Profit
78,1,39.30161,-76.62788,For Profit
74,1,39.30179,-76.59459,For Profit
78,1,39.30183,-76.59348,For Profit
17,0,39.30225,-76.59458,For Profit
15,0,39.30236,-76.59106,For Profit
86,1,39.303022,-76.547282,For Profit
149,2,39.30311,-76.59573,For Profit
260,2,39.30331,-76.62265,For Profit
6,0,39.30406,-76.62826,For Profit
28,0,39.30454,-76.63755,For Profit
4,0,39.30457,-76.61256,For Profit
9,0,39.30457,-76.61258,For Profit
13,1,39.30463,-76.63159,Non-Profit
13,0,39.30466,-76.63163,For Profit
218,3,39.3047,-76.60934,For Profit
80,1,39.30471,-76.58641,For Profit
74,2,39.30489,-76.60811,Non-Profit
60,2,39.30531,-76.6122,For Profit
24,1,39.3059,-76.6317,Non-Profit
74,0,39.30632,-76.71435,Non-Profit
207,1,39.30662,-76.62826,For Profit
286,2,39.30691,-76.62786,For Profit
69,1,39.30699,-76.6097,Non-Profit
102,2,39.30703,-76.57989,Non-Profit
45,0,39.30721,-76.5997,For Profit
227,1,39.30722,-76.62971,For Profit
54,2,39.30732,-76.60246,For Profit
100,1,39.30749,-76.72164,For Profit
30,0,39.30751,-76.60079,Non-Profit
12,0,39.30753,-76.6338,For Profit
100,0,39.30816,-76.64352,For Profit
139,2,39.3091,-76.61238,For Profit
64,1,39.30914,-76.66814,Non-Profit
48,0,39.30918,-76.6353,Non-Profit
23,1,39.30939,-76.63484,Non-Profit
321,3,39.30944,-76.60141,For Profit
56,1,39.30961,-76.63348,For Profit
30,0,39.30981,-76.61656,For Profit
58,0,39.30993,-76.58727,Non-Profit
209,1,39.30997,-76.62388,For Profit
80,1,39.31007,-76.66268,Non-Profit
72,2,39.31009,-76.6557,Multiple
66,0,39.31022,-76.64145,Non-Profit
20,0,39.31038,-76.61499,Non-Profit
50,3,39.31062,-76.65279,For Profit
202,0,39.31082,-76.62853,For Profit
15,0,39.311,-76.618,For Profit
91,1,39.31211,-76.64507,For Profit
55,1,39.31226,-76.58256,For Profit
100,2,39.31226,-76.58256,For Profit
77,2,39.31234,-76.55974,For Profit
100,1,39.31254,-76.5598,For Profit
80,1,39.31292,-76.76458,Non-Profit
64,0,39.31294,-76.63287,Non-Profit
30,0,39.31373,-76.63157,For Profit
64,1,39.31383,-76.6313,For Profit
15,2,39.31384,-76.63568,Non-Profit
29,0,39.31388,-76.62954,For Profit
22,2,39.31444,-76.61824,For Profit
146,0,39.31502,-76.64006,For Profit
207,1,39.31512,-76.6384,For Profit
1,0,39.31522,-76.59314,Non-Profit
102,1,39.31534,-76.61675,Non-Profit
12,0,39.31544,-76.63253,Non-Profit
11,0,39.31545,-76.61812,For Profit
60,1,39.31619,-76.54318,For Profit
47,0,39.31687,-76.63624,For Profit
40,0,39.31762,-76.66056,Non-Profit
14,1,39.31786,-76.61472,For Profit
30,1,39.31804,-76.61251,For Profit
125,2,39.31879,-76.55157,For Profit
5,0,39.32021,-76.61292,Non-Profit
22,0,39.320589,-76.618169,Non-Profit
85,1,39.32084,-76.65705,Non-Profit
36,0,39.32169,-76.65508,Non-Profit
72,0,39.32174,-76.67456,For Profit
78,0,39.32239,-76.67607,For Profit
90,2,39.32275,-76.68066,Non-Profit
78,0,39.32349,-76.5534,For Profit
19,2,39.32623,-76.60367,Non-Profit
170,3,39.32854,-76.54671,For Profit
110,0,39.32861,-76.60182,For Profit
71,0,39.32861,-76.60159,Non-Profit
74,1,39.32861,-76.6017,Non-Profit
22,0,39.33011,-76.70619,Non-Profit
85,1,39.33094,-76.59948,Non-Profit
301,1,39.33127,-76.65785,Non-Profit
301,1,39.33128,-76.65786,For Profit
8,0,39.33169,-76.63509,Non-Profit
75,0,39.33172,-76.69867,For Profit
75,1,39.3318,-76.69723,For Profit
154,3,39.33276,-76.6556,Multiple
30,1,39.3345,-76.60461,For Profit
99,2,39.33485,-76.67594,Non-Profit
360,1,39.33503,-76.63304,Non-Profit
12,0,39.33697,-76.54448,Non-Profit
29,1,39.33854,-76.57699,Multiple
6,0,39.33888,-76.55072,Non-Profit
56,0,39.3392,-76.69077,Non-Profit
53,0,39.33953,-76.68159,Non-Profit
207,1,39.33981,-76.65876,For Profit
60,0,39.3404,-76.66359,Non-Profit
67,0,39.34189,-76.69597,Non-Profit
24,0,39.34203,-76.67335,For Profit
47,2,39.34207,-76.67333,For Profit
48,2,39.34303,-76.66925,Multiple
151,3,39.3462,-76.65725,For Profit
10,0,39.34755,-76.61089,Non-Profit
99,1,39.34756,-76.6548,For Profit
10,0,39.34821,-76.56228,Non-Profit
69,1,39.34854,-76.53778,Non-Profit
22,0,39.34903,-76.6965,Non-Profit
10,0,39.34908,-76.57021,Non-Profit
20,1,39.34999,-76.61266,Non-Profit
30,2,39.35041,-76.56319,Non-Profit
84,2,39.35151,-76.68297,For Profit
41,1,39.35176,-76.61106,Non-Profit
33,1,39.35182,-76.60962,Non-Profit
11,0,39.35188,-76.57315,Non-Profit
231,2,39.35329,-76.66534,Non-Profit
123,2,39.35429,-76.68683,For Profit
99,1,39.35572,-76.68825,For Profit
22,0,39.35694,-76.56031,For Profit
8,0,39.35694,-76.56031,Non-Profit
94,2,39.35797,-76.58309,Non-Profit
71,1,39.3589,-76.58881,Non-Profit
109,4,39.35902,-76.69756,For Profit
186,1,39.35916,-76.69744,Multiple
12,0,39.36069,-76.56285,Non-Profit
100,1,39.36241,-76.52654,Multiple
212,0,39.36584,-76.60571,For Profit
216,1,39.36616,-76.60595,For Profit
72,0,39.36935,-76.69419,Non-Profit
168,2,39.37024,-76.60968,For Profit
261,2,39.37141,-76.58225,For Profit
88,1,39.37277,-76.60275,Non-Profit
86,0,39.37417,-76.5088,Multiple
8,0,39.37761,-76.69235,Non-Profit
180,0,39.3807,-76.46449,For Profit
62,2,41.92987,-83.33215,For Profit
201,2,42.26791,-83.15663,For Profit
80,2,42.30752,-83.13709,Non-Profit
34,2,42.30904,-83.13284,Non-Profit
22,1,42.31259,-83.12848,Non-Profit
16,2,42.31267,-83.11274,Non-Profit
54,1,42.31333,-83.1288,For Profit
232,3,42.31473,-83.12572,For Profit
20,1,42.31719,-83.08482,For Profit
73,2,42.31753,-83.08563,For Profit
32,1,42.32051,-83.08727,Non-Profit
65,1,42.32181,-83.07586,Non-Profit
50,1,42.32281,-83.08777,Non-Profit
32,1,42.32452,-83.09457,Non-Profit
87,2,42.32862,-83.06736,For Profit
29,1,42.32883,-83.06229,Non-Profit
4,1,42.330156,-83.045892,For Profit
15,1,42.330156,-83.045892,For Profit
115,2,42.33259,-83.05022,For Profit
127,0,42.33266,-83.04894,Multiple
70,5,42.33311,-83.06469,For Profit
60,1,42.33367,-83.1062,For Profit
165,2,42.33377,-83.0511,For Profit
351,1,42.33474,-83.08712,Non-Profit
73,2,42.33535,-83.04986,For Profit
80,3,42.33845,-83.01659,Non-Profit
50,1,42.33905,-83.01657,Non-Profit
312,4,42.33917,-83.02359,For Profit
312,2,42.33917,-83.02359,For Profit
121,1,42.33958,-83.08042,For Profit
88,1,42.34023,-83.08304,Non-Profit
60,1,42.34088,-83.08204,Non-Profit
67,1,42.3421,-83.07705,For Profit
100,1,42.34257,-83.07085,Non-Profit
66,1,42.34272,-83.08134,Non-Profit
168,3,42.34288,-83.02605,Multiple
199,1,42.34332,-83.02623,For Profit
144,1,42.3439,-83.02576,For Profit
197,1,42.34423,-83.07826,For Profit
35,1,42.34476,-83.06306,For Profit
70,1,42.34512,-83.05742,For Profit
113,1,42.34524,-83.05083,Non-Profit
45,1,42.34547,-83.08877,Non-Profit
129,0,42.34584,-83.02767,For Profit
144,0,42.34605,-83.02772,For Profit
120,1,42.34609,-83.06417,For Profit
129,2,42.3461,-83.02185,For Profit
350,3,42.34622,-83.02217,For Profit
24,1,42.34642,-83.06395,Non-Profit
248,1,42.34644,-83.05735,For Profit
51,2,42.34671,-83.06158,For Profit
144,0,42.34784,-83.02801,For Profit
11,1,42.34816,-83.00283,Non-Profit
28,1,42.34823,-83.07641,For Profit
82,1,42.3483,-83.05944,For Profit
30,2,42.34836,-83.06627,For Profit
11,1,42.34843,-83.00293,Non-Profit
46,2,42.34858,-83.06527,Non-Profit
16,1,42.34869,-83.06832,For Profit
36,1,42.34871,-83.10911,Non-Profit
100,2,42.34882,-83.03257,Non-Profit
112,0,42.34909,-83.02361,For Profit
56,1,42.34921,-83.03162,For Profit
27,2,42.34931,-83.00148,For Profit
12,1,42.3495,-83.06699,For Profit
60,2,42.34973,-83.06625,For Profit
556,1,42.34984,-83.02432,For Profit
472,2,42.35046,-82.99615,For Profit
12,2,42.35046,-83.07779,For Profit
24,1,42.3505,-83.07564,For Profit
300,2,42.3505,-83.05995,For Profit
28,1,42.35073,-83.00414,For Profit
180,2,42.35104,-83.02739,For Profit
21,1,42.35112,-83.00268,Non-Profit
104,1,42.35127,-83.06934,For Profit
120,1,42.35227,-83.04606,For Profit
126,1,42.35266,-83.04816,For Profit
97,1,42.35281,-83.0232,For Profit
160,0,42.35284,-83.06091,For Profit
120,1,42.3532,-83.07072,For Profit
120,1,42.35345,-83.07087,For Profit
352,2,42.35351,-83.07389,For Profit
280,2,42.35355,-82.99138,For Profit
60,1,42.35363,-83.00606,For Profit
96,1,42.35406,-83.20783,For Profit
53,1,42.35415,-83.04867,Non-Profit
53,1,42.35415,-83.04868,Non-Profit
100,1,42.35437,-83.04745,For Profit
16,2,42.3547,-83.00483,For Profit
150,1,42.35529,-83.06193,For Profit
15,1,42.35626,-82.98185,For Profit
35,1,42.35656,-83.1577,Non-Profit
245,2,42.35658,-83.0812,For Profit
160,2,42.35724,-83.04947,For Profit
78,2,42.3579,-83.20549,For Profit
45,0,42.35804,-83.20079,Non-Profit
198,2,42.35876,-83.05942,For Profit
160,1,42.35928,-82.98413,For Profit
49,1,42.35928,-83.04084,For Profit
100,1,42.35954,-83.06031,Non-Profit
48,4,42.35994,-83.21052,For Profit
194,1,42.36023,-83.05349,For Profit
127,1,42.36044,-83.06039,For Profit
388,3,42.36053,-83.05367,For Profit
30,1,42.36189,-83.06166,For Profit
190,1,42.36202,-82.94651,For Profit
146,2,42.36222,-83.05433,For Profit
74,1,42.36225,-83.07875,For Profit
1,1,42.36234,-83.19405,For Profit
24,0,42.36262,-82.98946,For Profit
153,1,42.36266,-83.09329,For Profit
60,1,42.36325,-83.09223,For Profit
36,1,42.36345,-83.20269,For Profit
1,1,42.36429,-83.17149,For Profit
173,0,42.36451,-83.0636,For Profit
26,1,42.36479,-82.99279,For Profit
173,1,42.36524,-83.06072,For Profit
180,3,42.36621,-82.9499,Multiple
45,1,42.36672,-82.95784,Non-Profit
96,1,42.36686,-83.15295,For Profit
96,1,42.36705,-83.15261,For Profit
89,0,42.36727,-83.0648,For Profit
12,2,42.36739,-83.12954,Non-Profit
83,1,42.36739,-82.94944,For Profit
66,1,42.36755,-82.95169,For Profit
122,1,42.36768,-82.95065,Non-Profit
150,2,42.36769,-83.06753,For Profit
49,2,42.36822,-83.13138,For Profit
31,1,42.36857,-83.10541,Non-Profit
40,1,42.3687,-83.1111,For Profit
50,1,42.36892,-83.00488,For Profit
350,2,42.37025,-83.08442,For Profit
1,1,42.37032,-83.21186,For Profit
254,1,42.37053,-83.08243,For Profit
76,2,42.37056,-83.07968,For Profit
135,1,42.37082,-82.9514,For Profit
26,2,42.37174,-82.99652,For Profit
280,2,42.37178,-83.23838,For Profit
56,1,42.37227,-83.10104,Non-Profit
50,1,42.37241,-82.99582,For Profit
82,1,42.37256,-83.0986,For Profit
71,2,42.37273,-83.07981,For Profit
104,1,42.37275,-83.07952,For Profit
38,1,42.373,-83.09795,For Profit
86,1,42.37374,-83.09828,For Profit
44,2,42.374,-83.11803,For Profit
24,1,42.37442,-83.06363,For Profit
1,1,42.37474,-83.17878,For Profit
71,1,42.37484,-83.07698,For Profit
53,1,42.3752,-83.07586,For Profit
24,1,42.37549,-82.95739,For Profit
10,1,42.37569,-82.95731,For Profit
38,1,42.37598,-83.16938,Non-Profit
27,0,42.37619,-83.11759,For Profit
99,2,42.37621,-82.98062,For Profit
42,1,42.37628,-83.11225,For Profit
42,1,42.37638,-83.11197,For Profit
96,3,42.37657,-83.12766,Multiple
10,0,42.37704,-83.12847,Non-Profit
45,1,42.37718,-82.98394,Non-Profit
38,3,42.37769,-83.11304,For Profit
73,1,42.37776,-83.08208,For Profit
139,0,42.37789,-83.12299,Non-Profit
30,2,42.37808,-82.94962,Non-Profit
100,1,42.37845,-83.08267,For Profit
11,2,42.37952,-83.08318,For Profit
200,1,42.37966,-83.01402,Multiple
9,1,42.37986,-83.07986,For Profit
50,1,42.38307,-83.07002,For Profit
50,2,42.38412,-82.98473,For Profit
54,1,42.3842,-82.96364,For Profit
62,0,42.3847,-83.00293,Non-Profit
39,1,42.3847,-82.95103,Non-Profit
24,1,42.38497,-83.0813,Non-Profit
5,1,42.38703,-83.24552,For Profit
35,1,42.38736,-83.10873,For Profit
45,2,42.38758,-82.97163,Multiple
1,1,42.38856,-83.17086,For Profit
50,1,42.38905,-83.26006,For Profit
79,2,42.3892,-83.05627,For Profit
30,1,42.38952,-83.00422,For Profit
50,2,42.39008,-83.25906,For Profit
138,2,42.39076,-82.97184,Non-Profit
59,0,42.3909,-82.98498,Non-Profit
50,1,42.39159,-82.96527,Non-Profit
64,1,42.39175,-82.95057,Non-Profit
32,2,42.3925,-82.96356,For Profit
60,1,42.39277,-82.96231,Non-Profit
50,2,42.39357,-83.01324,For Profit
45,1,42.39387,-83.24578,For Profit
1,1,42.39387,-83.1841,For Profit
5,1,42.39401,-82.93799,For Profit
223,1,42.39443,-83.13225,For Profit
2,1,42.39473,-82.93986,For Profit
64,1,42.39501,-83.03756,For Profit
1,1,42.39548,-83.19365,For Profit
1,1,42.39591,-83.18418,For Profit
88,1,42.39701,-83.19845,For Profit
1,1,42.39803,-82.94697,For Profit
45,1,42.39808,-83.00808,For Profit
1,1,42.39845,-82.94229,For Profit
1,1,42.39906,-83.17021,For Profit
1,1,42.3992,-83.18225,For Profit
1,1,42.39922,-83.178,For Profit
1,1,42.39922,-83.178,For Profit
23,2,42.40032,-83.26704,Non-Profit
1,1,42.40041,-83.17045,For Profit
43,1,42.40052,-83.16375,Non-Profit
57,0,42.40152,-83.21629,Non-Profit
55,0,42.40161,-83.11365,Non-Profit
45,1,42.40173,-83.15136,For Profit
45,1,42.40192,-83.15062,Non-Profit
1,1,42.40208,-82.97592,For Profit
155,2,42.40276,-83.11307,For Profit
24,3,42.4029,-83.11217,For Profit
1,1,42.403362,-82.977927,For Profit
1,1,42.40363,-83.16415,For Profit
1,1,42.40418,-83.18343,For Profit
1,1,42.40447,-83.16643,For Profit
60,2,42.40493,-83.09892,Multiple
1,1,42.40605,-82.97715,For Profit
1,1,42.40703,-83.17493,For Profit
1,1,42.40789,-83.17714,For Profit
76,1,42.40854,-82.96654,For Profit
11,2,42.40938,-83.18933,For Profit
29,2,42.40956,-82.96463,Non-Profit
22,1,42.409869,-83.139467,For Profit
30,1,42.40988,-83.13663,For Profit
11,1,42.40995,-83.14492,For Profit
1,1,42.41005,-82.93137,For Profit
148,2,42.4107,-83.25736,Non-Profit
1,1,42.41107,-82.92265,For Profit
1,1,42.41108,-83.02122,For Profit
1,1,42.41213,-83.00107,For Profit
21,2,42.41304,-82.94389,For Profit
1,1,42.41336,-83.14276,For Profit
1,1,42.41398,-83.07617,For Profit
45,0,42.41451,-82.9123,Non-Profit
81,2,42.41452,-83.16012,Non-Profit
80,0,42.41492,-83.16014,Non-Profit
1,1,42.41678,-83.24916,For Profit
209,3,42.41732,-83.21843,For Profit
69,1,42.41852,-83.08197,Non-Profit
20,1,42.41868,-83.18952,For Profit
40,1,42.41971,-82.98317,Non-Profit
1,1,42.42004,-82.96684,For Profit
65,2,42.42021,-83.19002,Non-Profit
17,2,42.42045,-82.93939,For Profit
1,1,42.42149,-83.00643,For Profit
65,0,42.42186,-83.19458,Non-Profit
75,0,42.42217,-83.17027,Non-Profit
1,1,42.4222,-82.99931,For Profit
38,1,42.42323,-83.25809,For Profit
58,1,42.42377,-83.2581,For Profit
12,1,42.42404,-83.09993,For Profit
1,1,42.42459,-82.94835,For Profit
1,1,42.42471,-82.97657,For Profit
1,1,42.42477,-83.27534,For Profit
11,1,42.42536,-83.10132,For Profit
1,1,42.42572,-82.96171,For Profit
1,1,42.42605,-83.07584,For Profit
40,1,42.42673,-82.95126,For Profit
1,1,42.42783,-82.98841,For Profit
1,1,42.42788,-83.06775,For Profit
250,2,42.42957,-83.23895,For Profit
1,1,42.42963,-82.95536,For Profit
89,0,42.42992,-83.27265,Non-Profit
193,1,42.43053,-83.19867,For Profit
48,2,42.43071,-83.25845,For Profit
49,1,42.43072,-82.972,Non-Profit
1,1,42.43079,-83.07602,For Profit
1,1,42.43228,-82.96401,For Profit
1,1,42.43341,-83.00826,For Profit
1,1,42.43513,-82.9997,For Profit
176,1,42.43518,-83.27787,For Profit
36,1,42.43524,-83.10735,For Profit
1,1,42.43629,-82.96803,For Profit
36,1,42.43636,-83.10775,For Profit
1,1,42.43712,-82.965,For Profit
1,1,42.4373,-82.98773,For Profit
1,1,42.43886,-83.0473,For Profit
1,1,42.43916,-83.00601,For Profit
1,1,42.43928,-82.96734,For Profit
1,1,42.43932,-82.97318,For Profit
1,1,42.43934,-82.95279,For Profit
1,1,42.43946,-82.96724,For Profit
1,1,42.43946,-82.96724,For Profit
1,1,42.43963,-83.06868,For Profit
1,1,42.43994,-82.96026,For Profit
1,1,42.44022,-82.96825,For Profit
1,1,42.44062,-83.00011,For Profit
3,1,42.440757,-83.073682,For Profit
1,1,42.44099,-82.96825,For Profit
151,2,42.44133,-83.08308,Non-Profit
48,1,42.44142,-83.01988,For Profit
48,2,42.44145,-83.02231,Non-Profit
1,1,42.44273,-82.99751,For Profit
1,1,42.44307,-83.06873,For Profit
1,1,42.4431,-82.98898,For Profit
1,1,42.44314,-83.06582,For Profit
1,1,42.44342,-83.0985,For Profit
1,1,42.44382,-83.07196,For Profit
5,1,42.44406,-82.99775,For Profit
1,1,42.44408,-82.99633,For Profit
1,1,42.44409,-82.99651,For Profit
1,1,42.44429,-82.98921,For Profit
1,1,42.44436,-83.02146,For Profit
1,1,42.44445,-82.98662,For Profit
1,1,42.44564,-83.06904,For Profit
1,1,42.44568,-82.958,For Profit
1,1,42.44577,-83.00014,For Profit
5,1,42.44578,-82.99889,For Profit
1,1,42.44578,-82.99889,For Profit
1,1,42.44777,-82.99529,For Profit
1,1,42.44779,-82.99058,For Profit
5,1,42.44779,-82.99407,For Profit
1,1,42.44784,-82.98917,For Profit
